win,lose,probability
Detroit Pistons,Phoenix Suns,0.7659038674479608
San Antonio Spurs,Houston Rockets,0.9011677087278813
Boston Celtics,Washington Wizards,0.5186630364625369
Golden State Warriors,Denver Nuggets,0.869503058917675
Miami Heat,Chicago Bulls,0.687984930547503
Milwaukee Bucks,New Orleans Pelicans,0.5449018385054922
Sacramento Kings,Los Angeles Lakers,0.7186873071669295
Boston Celtics,New York Knicks,0.8068522052711328
Charlotte Hornets,Toronto Raptors,0.5105626860300954
Oklahoma City Thunder,Los Angeles Clippers,0.7710036453454081
Utah Jazz,Orlando Magic,0.5644108958099907
Indiana Pacers,Philadelphia 76ers,0.9118683190475515
Portland Trail Blazers,Sacramento Kings,0.7632562453337862
San Antonio Spurs,Detroit Pistons,0.9073498191518202
Cleveland Cavaliers,Washington Wizards,0.704771146053912
Atlanta Hawks,Philadelphia 76ers,0.9389329816726595
Chicago Bulls,Washington Wizards,0.5388035329327691
Detroit Pistons,Denver Nuggets,0.5855834581131211
San Antonio Spurs,Houston Rockets,0.7265819934310689
Indiana Pacers,Boston Celtics,0.5751803723858677
Miami Heat,Utah Jazz,0.6738119085605814
Memphis Grizzlies,Milwaukee Bucks,0.5602991578736195
Los Angeles Clippers,Minnesota Timberwolves,0.7271747705501743
New Orleans Pelicans,Los Angeles Lakers,0.6498031984433404
Phoenix Suns,Brooklyn Nets,0.5227359958649306
Toronto Raptors,New York Knicks,0.8606242437972009
Cleveland Cavaliers,Charlotte Hornets,0.8146210335411529
Golden State Warriors,Phoenix Suns,0.9731026183557008
Minnesota Timberwolves,Los Angeles Lakers,0.6997595881056864
Oklahoma City Thunder,Orlando Magic,0.8969752254826796
Portland Trail Blazers,Denver Nuggets,0.7891324609625735
Oklahoma City Thunder,Detroit Pistons,0.6357400419594786
Houston Rockets,Philadelphia 76ers,0.8933966611475741
Indiana Pacers,Orlando Magic,0.7393503799378094
Los Angeles Clippers,Brooklyn Nets,0.9126774674215273
Boston Celtics,New Orleans Pelicans,0.7306294779478257
Dallas Mavericks,New York Knicks,0.6603787500149289
San Antonio Spurs,Miami Heat,0.8655947807776884
Utah Jazz,Memphis Grizzlies,0.624780413578612
Cleveland Cavaliers,Toronto Raptors,0.7309545546978692
Brooklyn Nets,Los Angeles Lakers,0.6049742484378642
Miami Heat,Atlanta Hawks,0.6282699501442118
Charlotte Hornets,Minnesota Timberwolves,0.6749974105091168
Portland Trail Blazers,Chicago Bulls,0.6705800865565895
Atlanta Hawks,Milwaukee Bucks,0.825336540781943
Boston Celtics,Dallas Mavericks,0.6974990415618458
Denver Nuggets,Phoenix Suns,0.6546875055509863
Cleveland Cavaliers,Indiana Pacers,0.6206755205836689
Los Angeles Clippers,Memphis Grizzlies,0.7910227339462814
Detroit Pistons,New York Knicks,0.6503067969573578
Oklahoma City Thunder,Houston Rockets,0.8472238572964478
Orlando Magic,New Orleans Pelicans,0.6211674300283996
Washington Wizards,Philadelphia 76ers,0.8943254415460042
San Antonio Spurs,Sacramento Kings,0.8319671993030511
Golden State Warriors,Toronto Raptors,0.5695521599133815
Portland Trail Blazers,Houston Rockets,0.5766390211701342
Miami Heat,Milwaukee Bucks,0.8081173300275017
Minnesota Timberwolves,Philadelphia 76ers,0.8040536905887292
Utah Jazz,Chicago Bulls,0.5607008199705429
Washington Wizards,New York Knicks,0.6973953595574389
Golden State Warriors,Boston Celtics,0.6616875964468651
Charlotte Hornets,Atlanta Hawks,0.6394423921040312
Cleveland Cavaliers,Detroit Pistons,0.8583065568871933
Dallas Mavericks,Memphis Grizzlies,0.6117594720341826
Toronto Raptors,Denver Nuggets,0.7590652477760891
Indiana Pacers,Phoenix Suns,0.8386750769557114
San Antonio Spurs,Los Angeles Lakers,0.9518508770089357
Portland Trail Blazers,New Orleans Pelicans,0.7774834354110458
Oklahoma City Thunder,Brooklyn Nets,0.9552444981885363
Los Angeles Clippers,Sacramento Kings,0.7085865620009247
Detroit Pistons,Boston Celtics,0.5198516305997938
Houston Rockets,Utah Jazz,0.5581673187679234
Los Angeles Clippers,Chicago Bulls,0.7436866746532806
Memphis Grizzlies,Minnesota Timberwolves,0.6097732848599804
Golden State Warriors,Milwaukee Bucks,0.8863380760601165
Charlotte Hornets,New Orleans Pelicans,0.7228924483317842
Dallas Mavericks,Orlando Magic,0.5580410968087066
Phoenix Suns,Philadelphia 76ers,0.7660651941560315
Miami Heat,Washington Wizards,0.5334220566388772
Portland Trail Blazers,Brooklyn Nets,0.8778089962654294
Utah Jazz,Denver Nuggets,0.6025733498665371
Chicago Bulls,Los Angeles Lakers,0.8465493869180952
Atlanta Hawks,New York Knicks,0.70920472792903
Oklahoma City Thunder,Indiana Pacers,0.8347162326213007
